method,action_accuracy,risky_auto_exec_rate,false_over_caution_rate,verification_appropriateness,human_review_precision,human_review_recall,human_review_f1,composite_score
FullCalibratorAdapter,0.58,0.046052631578947366,0.04878048780487805,0.58,0.941747572815534,0.6928571428571428,0.7983539094650205,0.7477307445442875
KeywordRuleBaseline,0.34,0.7763157894736842,0.0,0.415,1.0,0.24285714285714285,0.3908045977011494,0.45792105263157895
SafeKeywordFirstBaseline,0.305,0.8092105263157895,0.0,0.37,1.0,0.20714285714285716,0.3431952662721894,0.42844736842105263
RiskContextOnlyBaseline,0.58,0.019736842105263157,0.0,0.78,0.9194630872483222,0.9785714285714285,0.9480968858131488,0.8040657894736842
NoExperienceNoAffectiveBaseline,0.605,0.06578947368421052,0.04878048780487805,0.605,0.941747572815534,0.6928571428571428,0.7983539094650205,0.7565465340179718
