method,action_accuracy,risky_auto_exec_rate,false_over_caution_rate,verification_appropriateness,human_review_precision,human_review_recall,human_review_f1,composite_score
full,0.605,0.046052631578947366,0.04878048780487805,0.58,0.941747572815534,0.6928571428571428,0.7983539094650205,0.7564807445442875
w/o_strict_context_priority,0.6,0.1118421052631579,0.0,0.58,0.989010989010989,0.6428571428571429,0.7792207792207793,0.7480394736842105
w/o_affective_pressure,0.63,0.06578947368421052,0.04878048780487805,0.605,0.941747572815534,0.6928571428571428,0.7983539094650205,0.7652965340179718
w/o_experience_memory,0.605,0.046052631578947366,0.04878048780487805,0.58,0.941747572815534,0.6928571428571428,0.7983539094650205,0.7564807445442875
w/o_case_level_reset,0.6,0.006578947368421052,0.04878048780487805,0.575,0.941747572815534,0.6928571428571428,0.7983539094650205,0.7635991655969192
w/o_boundary_regex,0.68,0.07236842105263158,0.12195121951219512,0.655,0.904,0.8071428571428572,0.8528301886792452,0.776517650834403
